title,price,mileage,registration_year,previous_owners,fuel_type,body_type,engine,gearbox,doors,seats,emission_class,service_history
ford focus,798,140599,2008,3,petrol,hatchback,1.6,manual,5,5,4,unknown
vauxhall corsa,10698,22782,2020,3,petrol,hatchback,1.2,manual,5,5,6,unknown
peugeot 308 sw,9600,56984,2016,4,diesel,estate,1.6,manual,5,5,6,unknown
ford focus,4449,89653,2012,3,petrol,hatchback,1.0,manual,5,5,5,unknown
renault grand scenic,2495,98000,2010,3,petrol,mpv,1.4,manual,5,7,5,unknown
ford mondeo,1400,84000,1998,2,petrol,saloon,2.0,automatic,4,5,2,unknown
mercedes-benz c class,3100,96123,2009,7,diesel,saloon,2.1,automatic,4,5,5,unknown
mazda mazda 2,1995,95843,2011,6,petrol,hatchback,1.3,manual,5,5,5,unknown
honda jazz,1750,100500,2009,2,petrol,hatchback,1.4,manual,5,5,4,unknown
peugeot 207,2075,82013,2011,4,petrol,hatchback,1.4,manual,5,5,5,unknown
volkswagen touran,1349,120000,2004,3,diesel,mpv,2.0,manual,5,5,4,unknown
mercedes-benz c class,4250,120000,2008,3,petrol,saloon,1.8,automatic,4,5,4,unknown
bmw 3 series,5995,55000,2010,3,petrol,convertible,2.0,manual,2,4,5,unknown
vauxhall insignia,2950,79000,2011,4,petrol,hatchback,1.8,manual,5,5,5,unknown
bmw 3 series,19800,69690,2019,1,petrol plug-in hybrid,saloon,2.0,automatic,4,5,6,unknown
peugeot 308,9149,55301,2016,3,diesel,hatchback,1.6,manual,5,5,6,unknown
volkswagen golf,3050,158000,2009,4,petrol,hatchback,1.4,automatic,5,5,5,unknown
mitsubishi asx,4950,95000,2014,3,petrol,suv,1.6,manual,5,5,5,unknown
honda jazz,1595,99000,2008,4,petrol,hatchback,1.4,manual,5,5,4,unknown
mini hatch,3945,108528,2012,3,petrol,hatchback,1.6,manual,3,4,5,full
ford ka,889,65000,2003,3,petrol,hatchback,1.3,manual,3,4,3,unknown
peugeot 207,2495,104000,2009,3,petrol,hatchback,1.6,automatic,5,5,5,unknown
volkswagen golf,1795,50760,2002,3,petrol,hatchback,1.6,automatic,5,5,4,unknown
fiat grande punto,1600,69900,2007,2,petrol,hatchback,1.2,manual,5,5,4,full
mercedes-benz c class,4149,115000,2008,5,petrol,saloon,1.8,automatic,4,5,4,unknown
volkswagen beetle,2250,129111,2004,3,petrol,convertible,2.0,manual,2,4,4,unknown
ford focus,2950,105000,2011,3,petrol,hatchback,1.6,manual,5,5,5,unknown
peugeot 308,9149,55301,2016,3,diesel,hatchback,1.6,manual,5,5,6,unknown
mini hatch,10000,46923,2017,3,petrol,hatchback,1.5,manual,3,4,6,unknown
mercedes-benz c class,12450,64000,2015,5,petrol,saloon,2.0,automatic,4,5,6,full
alfa romeo mito,2450,92000,2010,6,petrol,hatchback,1.4,manual,3,4,4,unknown
vauxhall corsa,1889,126000,2010,3,petrol,hatchback,1.2,manual,3,5,5,unknown
lexus gs 300,1990,72000,1997,5,petrol,saloon,3.0,automatic,4,5,2,unknown
land rover freelander,1000,81783,1999,2,diesel,suv,2.0,manual,5,5,2,unknown
volkswagen polo,2499,102000,2008,4,petrol,hatchback,1.4,manual,3,5,4,unknown
bmw 1 series,2950,81000,2008,4,petrol,hatchback,1.6,manual,5,5,4,unknown
peugeot 307,1700,56000,2007,3,petrol,hatchback,1.6,manual,3,5,4,full
fiat grande punto,2290,25300,2007,3,petrol,hatchback,1.2,manual,3,4,4,unknown
fiat punto evo,2495,81858,2011,4,petrol,hatchback,1.4,manual,5,5,5,unknown
peugeot 207,1299,87000,2008,5,diesel,hatchback,1.6,manual,5,5,4,unknown
mini hatch,10000,46923,2017,3,petrol,hatchback,1.5,manual,3,4,6,unknown
vauxhall corsa,10698,22782,2020,3,petrol,hatchback,1.2,manual,5,5,6,unknown
vauxhall astra,2900,119035,2010,5,petrol,hatchback,1.6,automatic,5,5,5,unknown
renault megane,1995,102541,2009,3,petrol,hatchback,1.6,manual,5,5,5,unknown
volkswagen polo,2110,93930,2009,4,petrol,hatchback,1.2,manual,5,5,4,unknown
